create,"Mac mini (2018)",Mac デスクトップ,"3 GHz 6コアIntel Core i5 | 8 GB 2667 MHz DDR4",https://support.apple.com/kb/SP782?locale=ja_JP
create,"Adobe Creative Cloud",アプリとサービス,"すべての人に「つくる力」を",https://www.adobe.com/jp/
listening,"TASCAM 202 MKV","カセットデッキ","録音/再生メカを2台搭載した、ダブルオートリバースカセットデッキ",https://tascam.com/jp/product/202mkv/top
listening,"audio-technica AT-PL300","ステレオターンテーブルシステム","レコードを聴くという生活を当たり前にするかんたんフルオート再生プレーヤー。",https://www.audio-technica.co.jp/product/AT-PL300
listening,"audio-technica AT-X11","ダイナミックマイク ×2","おしゃれなボーカルマイク、プロテクトリング付き。",https://www.audio-technica.co.jp/product/AT-X11
listening,"MACKIE MIX 8","コンパクト アナログミキサー","実績のあるハイヘッドルーム、低ノイズを実現した8チャンネルコンパクトミキサー",https://mackie-jp.com/mixers/mix/
listening,"YAMAHA MSP5 STUDIO","パワードモニタースピーカー","バイアンプ構成のプログレード2ウェイレコーディングモニター",https://jp.yamaha.com/products/proaudio/speakers/msp_studio_series/index.html
listening,"FiiO BTA30 Pro","Bluetoothレシーバー＆トランスミッター","無線と有線を自在に変換する「超」メディアHUB。これ1台で全てが完結する",https://www.fiio.jp/products/bta30-pro/
listening,"ZOOM H3-VR","VRオーディオマイク","さぁ、音のＶＲをはじめよう。",https://zoomcorp.com/ja/jp/handheld-recorders/handheld-recorders/h3-vr-360-audio-recorder/
listening,"ZOOM U-44","USBオーディオ・インターフェース","スタジオクラスの高音質をコンパクトボディに凝縮した、ポータブルでハンディな4イン／4アウト仕様のUSBオーディオ・インターフェース",https://zoomcorp.com/ja/jp/audio-interface/audio-interfaces/u-44/
viewing,"I-O DATA EX-LD321DB","31.5型 ディスプレイ","広視野角ADSパネル HDMI×2 DisplayPort",https://www.iodata.jp/product/lcd/wide/ex-ld321db/
viewing,"Sony BDP-6700","Blu-ray/DVD","Blu-ray/DVDディスクの再生、YouTubeなどのスクリーニング・スマートフォン／タブレットのミラーリングも可能",https://www.sony.jp/bd-player/products/BDP-S6700/
viewing,"WiMiUS S4","プロジェクター","ネイティブ1080P フルHD 4K対応 5G&2.4G二重周波数 Bluetooth ズーム機能",none
viewing,"GoPro HERO7 Black","アクティブカメラ","HERO7 Black があなたの動きを予測し、カメラのブレを補正することで、驚くほど滑らかな映像を撮影できます。",https://www.tajima-motor.com/gopro/product/hero7black/
viewing,"LG 360 CAM","360度全天球カメラ","スマートフォンから遠隔操作・Google ストリートビューへの投稿が可能です。",https://www.lg.com/us/mobile-accessories/lg-LGR105AVRZTS-360-cam
